Format Version,1.24,Take Name,Take 2026-08-04 03.46.00 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-04 03.46.01.395 ,Capture Start Frame,1014900,Total Frames in Take,7858,Total Exported Frames,7858,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Unlabeled 1257,Unlabeled 1257,Unlabeled 1257
,ID,,"1E2B512B900B11F1794CD665D3A07481","1E2B512B900B11F1794CD665D3A07481","1E2B512B900B11F1794CD665D3A07481","1E2B5129900B11F1794CD665D3A07481","1E2B5129900B11F1794CD665D3A07481","1E2B5129900B11F1794CD665D3A07481","1E2B512A900B11F1794CD665D3A07481","1E2B512A900B11F1794CD665D3A07481","1E2B512A900B11F1794CD665D3A07481","5BDFB6146D28FE711F1","5BDFB6146D28FE711F1","5BDFB6146D28FE711F1"
,,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),TimeCode,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
126,1.050000,15:47:08:19.00,-92.019966,311.555176,134.106018,-92.189781,318.421814,134.557587,-92.020073,313.825378,137.263748,,,
127,1.058333,15:47:08:19.01,-92.020378,311.555756,134.107132,-92.189728,318.421509,134.556671,-92.021194,313.824615,137.263855,,,
128,1.066667,15:47:08:19.02,-92.019386,311.555695,134.106430,-92.189415,318.420258,134.557388,-92.020226,313.825104,137.262802,,,
129,1.075000,15:47:08:19.03,-92.018219,311.555481,134.106628,-92.189270,318.421265,134.556351,-92.020508,313.823975,137.262695,,,
130,1.083333,15:47:08:20.00,-92.019310,311.555542,134.106689,-92.189949,318.421783,134.556763,-92.020592,313.824524,137.263077,,,
131,1.091667,15:47:08:20.01,-92.019997,311.555115,134.107239,-92.190590,318.421478,134.556946,-92.022499,313.825378,137.262695,,,
132,1.100000,15:47:08:20.02,-92.017914,311.554016,134.106628,-92.190247,318.421478,134.557144,-92.021828,313.825348,137.263794,,,
133,1.108333,15:47:08:20.03,-92.018303,311.554474,134.106293,-92.189232,318.422333,134.556351,-92.020920,313.824829,137.263153,,,
134,1.116667,15:47:08:21.00,-92.019547,311.555634,134.105957,-92.188065,318.420258,134.555679,-92.021935,313.825012,137.263443,,,
135,1.125000,15:47:08:21.01,-92.018097,311.554718,134.106430,-92.188805,318.422119,134.556427,-92.019905,313.825165,137.263840,,,
136,1.133333,15:47:08:21.02,-92.019547,311.554993,134.107285,-92.190483,318.422241,134.556183,-92.022362,313.825714,137.263535,,,
137,1.141667,15:47:08:21.03,-92.018288,311.554321,134.106384,-92.189362,318.421783,134.555847,-92.020523,313.824615,137.263138,,,
138,1.150000,15:47:08:22.00,-92.019722,311.554657,134.106140,-92.189209,318.422058,134.556793,-92.022308,313.825623,137.263748,,,
139,1.158333,15:47:08:22.01,-92.018913,311.554871,134.106232,-92.189232,318.422455,134.554733,-92.021767,313.824066,137.262863,,,
140,1.166667,15:47:08:22.02,-92.016251,311.555389,134.105927,-92.188530,318.421051,134.556931,-92.020142,313.825165,137.263565,,,
141,1.175000,15:47:08:22.03,-92.019440,311.556030,134.106812,-92.188210,318.422485,134.555664,-92.022026,313.825531,137.263016,,,
142,1.183333,15:47:08:23.00,-92.018379,311.554840,134.105988,-92.189758,318.422089,134.557114,-92.021126,313.824951,137.262787,,,
143,1.191667,15:47:08:23.01,-92.018677,311.555420,134.107269,-92.188744,318.421326,134.556412,-92.020058,313.825409,137.262695,,,
144,1.200000,15:47:08:23.02,-92.016907,311.555237,134.106308,-92.189285,318.422363,134.555847,-92.020859,313.825256,137.263168,,,
145,1.208333,15:47:08:23.03,-92.017838,311.554535,134.106705,-92.189445,318.421753,134.556824,-92.019943,313.825134,137.262253,,,
146,1.216667,15:47:08:24.00,-92.018555,311.554565,134.105606,-92.189201,318.421661,134.555984,-92.021065,313.824463,137.262543,,,
147,1.225000,15:47:08:24.01,-92.018822,311.554871,134.106232,-92.190239,318.421875,134.556152,-92.021004,313.824371,137.263290,,,
148,1.233333,15:47:08:24.02,-92.019447,311.555389,134.107132,-92.190971,318.422150,134.557205,-92.020554,313.824005,137.263474,,,
149,1.241667,15:47:08:24.03,-92.018730,311.554596,134.105316,-92.189201,318.421265,134.555984,-92.020294,313.824402,137.262573,,,
150,1.250000,15:47:08:25.00,-92.018806,311.554840,134.105270,-92.190666,318.421600,134.557068,-92.020050,313.824615,137.262512,,,
151,1.258333,15:47:08:25.01,-92.018997,311.555634,134.106293,-92.190277,318.420441,134.556519,-92.020691,313.825470,137.262726,,,
152,1.266667,15:47:08:25.02,-92.018494,311.554932,134.106339,-92.190704,318.422302,134.556610,-92.022575,313.825775,137.263519,,,
153,1.275000,15:47:08:25.03,-92.020378,311.555206,134.106339,-92.190155,318.421783,134.556213,-92.022552,313.824097,137.263168,,,
154,1.283333,15:47:08:26.00,-92.019493,311.554108,134.105835,-92.191490,318.422424,134.557800,-92.020920,313.825165,137.262802,,,
155,1.291667,15:47:08:26.01,-92.020538,311.555420,134.105865,-92.190964,318.422699,134.556824,-92.020561,313.825287,137.263733,,,
156,1.300000,15:47:08:26.02,-92.020988,311.554993,134.106750,-92.190971,318.422211,134.556580,-92.020935,313.825348,137.263931,,,
157,1.308333,15:47:08:26.03,-92.020180,311.554535,134.107224,-92.189995,318.420715,134.556824,-92.020729,313.824829,137.263138,,,
158,1.316667,15:47:08:27.00,-92.021072,311.555206,134.106796,-92.189774,318.421631,134.558304,-92.020485,313.824921,137.263077,,,
159,1.325000,15:47:08:27.01,-92.017960,311.554352,134.106125,-92.189346,318.422302,134.556122,-92.021225,313.825684,137.263245,,,
160,1.333333,15:47:08:27.02,-92.018440,311.554779,134.107162,-92.190865,318.422699,134.556717,-92.021408,313.824646,137.263245,,,
161,1.341667,15:47:08:27.03,-92.019218,311.554260,134.107101,-92.190659,318.421021,134.556976,-92.020119,313.824310,137.262085,,,
