Format Version,1.24,Take Name,Take 2026-08-04 03.39.02 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-04 03.39.03.026 ,Capture Start Frame,964696,Total Frames in Take,8024,Total Exported Frames,8024,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Unlabeled 1237,Unlabeled 1237,Unlabeled 1237
,ID,,"253C9560900A11F1794CD665D3A07481","253C9560900A11F1794CD665D3A07481","253C9560900A11F1794CD665D3A07481","253C955E900A11F1794CD665D3A07481","253C955E900A11F1794CD665D3A07481","253C955E900A11F1794CD665D3A07481","253C955F900A11F1794CD665D3A07481","253C955F900A11F1794CD665D3A07481","253C955F900A11F1794CD665D3A07481","5B7FB6146D28FE711F1","5B7FB6146D28FE711F1","5B7FB6146D28FE711F1"
,,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),TimeCode,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
68,0.566667,15:40:09:23.01,-92.020935,311.560394,134.111786,-92.194038,318.429688,134.557693,-92.020912,313.829041,137.267609,,,
69,0.575000,15:40:09:23.02,-92.018074,311.559143,134.111694,-92.194588,318.430389,134.558365,-92.020782,313.829468,137.267899,,,
70,0.583333,15:40:09:23.03,-92.019669,311.560730,134.112473,-92.193314,318.431213,134.555008,-92.022270,313.829620,137.267426,,,
71,0.591667,15:40:09:24.00,-92.019760,311.560577,134.112045,-92.193871,318.430206,134.557755,-92.022003,313.828918,137.267319,,,
72,0.600000,15:40:09:24.01,-92.018875,311.559906,134.111237,-92.192589,318.430176,134.554764,-92.020233,313.829071,137.267578,,,
73,0.608333,15:40:09:24.02,-92.018944,311.560394,134.111481,-92.193672,318.430481,134.554871,-92.020996,313.828888,137.267426,,,
74,0.616667,15:40:09:24.03,-92.020782,311.559814,134.112274,-92.192932,318.428955,134.554443,-92.021072,313.828369,137.267151,,,
75,0.625000,15:40:09:25.00,-92.022308,311.559509,134.112350,-92.194672,318.429626,134.557465,-92.020660,313.828583,137.268204,,,
76,0.633333,15:40:09:25.01,-92.022125,311.560608,134.112625,-92.192513,318.430389,134.554962,-92.021088,313.829102,137.267273,,,
77,0.641667,15:40:09:25.02,-92.018951,311.559448,134.112244,-92.194412,318.431000,134.554855,-92.021957,313.829620,137.268188,,,
78,0.650000,15:40:09:25.03,-92.020782,311.559784,134.112823,-92.194023,318.429901,134.554092,-92.020744,313.829193,137.267487,,,
79,0.658333,15:40:09:26.00,-92.019745,311.560760,134.113342,-92.196175,318.429749,134.559143,-92.021667,313.828766,137.266663,,,
80,0.666667,15:40:09:26.01,-92.022079,311.560547,134.113052,-92.193947,318.430298,134.554871,-92.021248,313.828949,137.266937,,,
81,0.675000,15:40:09:26.02,-92.021057,311.560486,134.112381,-92.196907,318.430786,134.558395,-92.022018,313.828552,137.268066,,,
82,0.683333,15:40:09:26.03,-92.019859,311.560303,134.111801,-92.194374,318.430847,134.554565,-92.020676,313.828583,137.267654,,,
83,0.691667,15:40:09:27.00,-92.020134,311.560699,134.112381,-92.195114,318.429810,134.557846,-92.021347,313.829285,137.267059,,,
84,0.700000,15:40:09:27.01,-92.017937,311.559967,134.112366,-92.193268,318.430756,134.555588,-92.028839,313.829651,137.268997,,,
85,0.708333,15:40:09:27.02,-92.017975,311.559509,134.112671,-92.193260,318.430359,134.555573,-92.021797,313.828339,137.266678,,,
86,0.716667,15:40:09:27.03,-92.020981,311.559479,134.112915,-92.192169,318.429840,134.554855,-92.021461,313.828918,137.268250,,,
87,0.725000,15:40:09:28.00,-92.018776,311.560089,134.112198,-92.193130,318.430481,134.554947,-92.021835,313.829010,137.267944,,,
88,0.733333,15:40:09:28.01,-92.020279,311.558929,134.112610,-92.193970,318.430298,134.555328,-92.021530,313.829529,137.267929,,,
89,0.741667,15:40:09:28.02,-92.019928,311.559052,134.111725,-92.192261,318.430267,134.553604,-92.019478,313.828522,137.266479,,,
90,0.750000,15:40:09:28.03,-92.019501,311.559143,134.111542,-92.193489,318.429291,134.556808,-92.020752,313.829163,137.267227,,,
91,0.758333,15:40:09:29.00,-92.020058,311.559784,134.112137,-92.194695,318.428741,134.558365,-92.020508,313.828369,137.267181,,,
92,0.766667,15:40:09:29.01,-92.021660,311.559906,134.112244,-92.194344,318.429016,134.557800,-92.020844,313.828308,137.267227,,,
93,0.775000,15:40:09:29.02,-92.018356,311.559631,134.113510,-92.193825,318.431030,134.555771,-92.021599,313.828522,137.266891,,,
94,0.783333,15:40:09:29.03,-92.020561,311.558838,134.112534,-92.195053,318.429626,134.557541,-92.020935,313.828979,137.267715,,,
95,0.791667,15:40:10:00.00,-92.019958,311.559174,134.112656,-92.194778,318.429352,134.556915,-92.021324,313.828461,137.267899,,,
96,0.800000,15:40:10:00.01,-92.018448,311.559845,134.112717,-92.194374,318.430328,134.555008,-92.019287,313.828979,137.266617,,,
97,0.808333,15:40:10:00.02,-92.020210,311.558716,134.112366,-92.192604,318.428284,134.553864,-92.020454,313.828125,137.267654,,,
98,0.816667,15:40:10:00.03,-92.021385,311.559814,134.113037,-92.194664,318.428589,134.556839,-92.019348,313.828247,137.266159,,,
99,0.825000,15:40:10:01.00,-92.017937,311.559662,134.111450,-92.194748,318.429779,134.553955,-92.019821,313.828217,137.266541,,,
100,0.833333,15:40:10:01.01,-92.019997,311.559326,134.111969,-92.193893,318.429382,134.553726,-92.021805,313.829102,137.267136,,,
101,0.841667,15:40:10:01.02,-92.019562,311.559906,134.112061,-92.193520,318.429260,134.554214,-92.021591,313.828186,137.266846,,,
102,0.850000,15:40:10:01.03,-92.018860,311.559753,134.111557,-92.191734,318.430237,134.554123,-92.021927,313.829071,137.267273,,,
103,0.858333,15:40:10:02.00,-92.019218,311.559753,134.111221,-92.194695,318.428711,134.558334,-92.021370,313.828308,137.268204,,,
104,0.866667,15:40:10:02.01,-92.018135,311.558685,134.112457,-92.191917,318.429016,134.554550,-92.021309,313.829163,137.267227,,,
105,0.875000,15:40:10:02.02,-92.018829,311.560608,134.111725,-92.192993,318.427795,134.557190,-92.020241,313.828979,137.267120,,,
106,0.883333,15:40:10:02.03,-92.018219,311.560425,134.111435,-92.193542,318.429626,134.558350,-92.021927,313.830017,137.267395,,,
107,0.891667,15:40:10:03.00,-92.018631,311.559692,134.111710,-92.193207,318.429626,134.557907,-92.020828,313.828766,137.266266,,,
108,0.900000,15:40:10:03.01,-92.019249,311.559937,134.113190,-92.193115,318.430481,134.554977,-92.021858,313.829407,137.267990,,,
109,0.908333,15:40:10:03.02,-92.020493,311.559296,134.112366,-92.195351,318.429718,134.557571,-92.021133,313.829010,137.267929,,,
110,0.916667,15:40:10:03.03,-92.019615,311.559570,134.112015,-92.193970,318.431213,134.555710,-92.019920,313.829865,137.266953,,,
111,0.925000,15:40:10:04.00,-92.020638,311.559692,134.113510,-92.192924,318.429749,134.557861,-92.020340,313.829193,137.267166,,,
112,0.933333,15:40:10:04.01,-92.019753,311.559418,134.111877,-92.192444,318.430328,134.555237,-92.020775,313.828613,137.267715,,,
113,0.941667,15:40:10:04.02,-92.017258,311.560486,134.112717,-92.192726,318.429504,134.554810,-92.021271,313.829498,137.267822,,,
114,0.950000,15:40:10:04.03,-92.016800,311.559265,134.111786,-92.194618,318.429504,134.558258,-92.021675,313.829407,137.268204,,,
115,0.958333,15:40:10:05.00,-92.017929,311.559601,134.111664,-92.192062,318.429932,134.555145,-92.020790,313.829285,137.268188,,,
116,0.966667,15:40:10:05.01,-92.018135,311.560150,134.112381,-92.192993,318.430237,134.554916,-92.020485,313.828217,137.267242,,,
117,0.975000,15:40:10:05.02,-92.018898,311.559937,134.112030,-92.194290,318.429291,134.557922,-92.021713,313.829956,137.267334,,,
118,0.983333,15:40:10:05.03,-92.019386,311.560150,134.111572,-92.194023,318.429291,134.557922,-92.021553,313.829041,137.267487,,,
119,0.991667,15:40:10:06.00,-92.019325,311.560547,134.111938,-92.192612,318.430481,134.554565,-92.022255,313.829559,137.267776,,,
120,1.000000,15:40:10:06.01,-92.016922,311.560760,134.110748,-92.195549,318.430450,134.557114,-92.021767,313.829529,137.267563,,,
121,1.008333,15:40:10:06.02,-92.019585,311.559784,134.112366,-92.193756,318.429932,134.555099,-92.021957,313.829559,137.267212,,,
122,1.016667,15:40:10:06.03,-92.020592,311.561310,134.112274,-92.192833,318.431152,134.554123,-92.020523,313.830414,137.266693,,,
123,1.025000,15:40:10:07.00,-92.021355,311.562073,134.113342,-92.192558,318.430756,134.553879,-92.021248,313.829132,137.267456,,,
124,1.033333,15:40:10:07.01,-92.023071,311.561646,134.112137,-92.195633,318.430786,134.558228,-92.020264,313.829803,137.267593,,,
125,1.041667,15:40:10:07.02,-92.020157,311.560974,134.112671,-92.195427,318.431122,134.557571,-92.021896,313.830841,137.267181,,,
126,1.050000,15:40:10:07.03,-92.020073,311.561096,134.113022,-92.195465,318.431549,134.557632,-92.021027,313.829590,137.266846,,,
127,1.058333,15:40:10:08.00,-92.021141,311.561584,134.112656,-92.193207,318.430817,134.554474,-92.020180,313.829742,137.267120,,,
128,1.066667,15:40:10:08.01,-92.019531,311.561310,134.112900,-92.195168,318.431030,134.557327,-92.022224,313.829468,137.267776,,,
129,1.075000,15:40:10:08.02,-92.019264,311.560730,134.112808,-92.196510,318.430939,134.558411,-92.020561,313.829803,137.266739,,,
130,1.083333,15:40:10:08.03,-92.019096,311.561768,134.112518,-92.196053,318.432343,134.558182,-92.021332,313.829712,137.266968,,,
131,1.091667,15:40:10:09.00,-92.021461,311.561401,134.112289,-92.192604,318.431122,134.554901,-92.022026,313.829437,137.267334,,,
132,1.100000,15:40:10:09.01,-92.020020,311.560852,134.112854,-92.192444,318.432007,134.554749,-92.026558,313.828979,137.268311,,,
